#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
418,-181.7476976781615,282.1205451428638,0.020780882334166598
419,-178.40173652358058,258.8473510859649,0.020780882334166598
420,-184.06462766504006,292.6273710343831,0.020780882334166598
421,-193.50521782216828,357.6082972346414,0.020780882334166598
422,-198.6172571672719,400.0731681493473,0.020780882334166598
423,-196.46015524013845,386.9890354294021,0.020780882334166598
424,-189.34039579847453,333.0978154172015,0.020780882334166598
425,-183.63959398213638,289.4054134150113,0.020780882334166598
426,-182.90780144544675,283.7902888665983,0.020780882334166598
427,-185.27591885416047,296.2010828978751,0.020780882334166598
428,-187.25276151508473,302.2883112601552,0.020780882334166598
429,-188.88196877263283,301.804955782352,0.020780882334166598
430,-191.3267743835318,298.58223281551057,0.020780882334166598
431,-194.34009267238676,322.4905632047824,0.020780882334166598
432,-194.8464239493687,340.9666009585976,0.020780882334166598
433,-193.11587821754867,332.4233278923714,0.020780882334166598
434,-193.2086085628117,332.8522680658509,0.020780882334166598
435,-194.64638403600839,342.24974700755917,0.020780882334166598
436,-194.22993254174546,341.18219527384986,0.020780882334166598
437,-190.11460410417823,316.55524059319544,0.020780882334166598
438,-186.61852527654315,284.1751523079323,0.020780882334166598
439,-188.37041597260915,290.2369275972856,0.020780882334166598
440,-193.6503409646669,317.77686952420197,0.020780882334166598
441,-194.49715908340357,328.00177355005087,0.020780882334166598
442,-186.84480458038382,280.08839599889734,0.020780882334166598
443,-177.51733760284748,215.11890612903196,0.020780882334166598
444,-176.53577770790446,212.70405325938657,0.020780882334166598
445,-185.7001446558853,276.21948693736414,0.020780882334166598
446,-196.03584286817824,321.7557945569164,0.020780882334166598
447,-198.7636551092445,337.9123405276947,0.020780882334166598
448,-191.17497989684463,302.44820483807945,0.020780882334166598
449,-181.6915715191232,247.9809682266078,0.020780882334166598
450,-179.84452105422415,246.42492148228234,0.020780882334166598
451,-187.3507817133161,292.0494090275013,0.020780882334166598
452,-194.6299200518349,342.0974904364101,0.020780882334166598
453,-191.83443091839897,328.1443588383841,0.020780882334166598
454,-180.32472147372837,256.76610268098335,0.020780882334166598
455,-170.97158402582946,203.8482083987063,0.020780882334166598
456,-173.16113133891483,216.894332034395,0.020780882334166598
457,-183.10494342440958,285.4566767929921,0.020780882334166598
458,-190.04185765705293,325.79863428403274,0.020780882334166598
459,-187.5008651590145,304.72805425433677,0.020780882334166598
460,-179.52634758420746,267.7036257964807,0.020780882334166598
461,-176.73641206330578,248.9745976586942,0.020780882334166598
462,-185.71729994529042,305.18682606681926,0.020780882334166598
